q_bond_0,q_bond_5,critic_value
-35000.0,-30000.0,-10720.86
-35000.0,-24000.0,-9833.847
-35000.0,-18000.0,-8946.833
-35000.0,-12000.0,-8059.821
-35000.0,-6000.0,-7299.346
-35000.0,0.0,-6891.52
-35000.0,6000.0,-6483.695
-35000.0,12000.0,-6263.1543
-35000.0,18000.0,-6079.3794
-35000.0,24000.0,-6307.514
-35000.0,30000.0,-6880.106
-28000.0,-30000.0,-9927.569
-28000.0,-24000.0,-9040.556
-28000.0,-18000.0,-8153.5435
-28000.0,-12000.0,-7266.53
-28000.0,-6000.0,-6565.2583
-28000.0,0.0,-6154.8228
-28000.0,6000.0,-5776.9673
-28000.0,12000.0,-5577.7944
-28000.0,18000.0,-5609.6797
-28000.0,24000.0,-5961.277
-28000.0,30000.0,-6737.5737
-21000.0,-30000.0,-9134.278
-21000.0,-24000.0,-8247.265
-21000.0,-18000.0,-7360.253
-21000.0,-12000.0,-6473.239
-21000.0,-6000.0,-5832.989
-21000.0,0.0,-5418.1245
-21000.0,6000.0,-5091.6074
-21000.0,12000.0,-5045.0786
-21000.0,18000.0,-5263.442
-21000.0,24000.0,-5803.821
-21000.0,30000.0,-6686.9414
-14000.0,-30000.0,-8471.577
-14000.0,-24000.0,-7594.779
-14000.0,-18000.0,-6717.98
-14000.0,-12000.0,-5841.1807
-14000.0,-6000.0,-5272.1675
-14000.0,0.0,-4863.0884
-14000.0,6000.0,-4757.173
-14000.0,12000.0,-4831.511
-14000.0,18000.0,-5244.2036
-14000.0,24000.0,-5975.7085
-14000.0,30000.0,-6869.044
-7000.0,-30000.0,-7995.525
-7000.0,-24000.0,-7118.727
-7000.0,-18000.0,-6241.9272
-7000.0,-12000.0,-5409.2515
-7000.0,-6000.0,-4857.137
-7000.0,0.0,-4609.083
-7000.0,6000.0,-4658.7534
-7000.0,12000.0,-4855.7637
-7000.0,18000.0,-5417.057
-7000.0,24000.0,-6261.727
-7000.0,30000.0,-7197.308
0.0,-30000.0,-7544.0684
0.0,-24000.0,-6652.6167
0.0,-18000.0,-5765.8755
0.0,-12000.0,-4994.2217
0.0,-6000.0,-4613.966
0.0,0.0,-4485.9956
0.0,6000.0,-4679.7686
0.0,12000.0,-5043.9873
0.0,18000.0,-5695.942
0.0,24000.0,-6654.2607
0.0,30000.0,-7612.5796
7000.0,-30000.0,-7159.575
7000.0,-24000.0,-6268.1226
7000.0,-18000.0,-5376.6694
7000.0,-12000.0,-4834.9673
7000.0,-6000.0,-4554.234
7000.0,0.0,-4610.069
7000.0,6000.0,-4934.226
7000.0,12000.0,-5402.849
7000.0,18000.0,-6135.013
7000.0,24000.0,-7093.3325
7000.0,30000.0,-8051.6514
14000.0,-30000.0,-6806.3306
14000.0,-24000.0,-5937.6157
14000.0,-18000.0,-5253.5693
14000.0,-12000.0,-4876.184
14000.0,-6000.0,-4761.7007
14000.0,0.0,-4977.323
14000.0,6000.0,-5301.48
14000.0,12000.0,-5839.5317
14000.0,18000.0,-6693.074
14000.0,24000.0,-7696.741
14000.0,30000.0,-8700.407
21000.0,-30000.0,-6515.98
21000.0,-24000.0,-5838.3384
21000.0,-18000.0,-5269.7817
21000.0,-12000.0,-5121.2007
21000.0,-6000.0,-5113.5625
21000.0,0.0,-5436.0674
21000.0,6000.0,-5820.186
21000.0,12000.0,-6487.6294
21000.0,18000.0,-7466.1895
21000.0,24000.0,-8469.856
21000.0,30000.0,-9473.522
28000.0,-30000.0,-6488.222
28000.0,-24000.0,-5984.864
28000.0,-18000.0,-5634.987
28000.0,-12000.0,-5655.781
28000.0,-6000.0,-5699.9507
28000.0,0.0,-6046.001
28000.0,6000.0,-6495.3657
28000.0,12000.0,-7235.638
28000.0,18000.0,-8239.305
28000.0,24000.0,-9242.971
28000.0,30000.0,-10246.638
35000.0,-30000.0,-6788.3403
35000.0,-24000.0,-6416.288
35000.0,-18000.0,-6197.999
35000.0,-12000.0,-6218.7935
35000.0,-6000.0,-6314.317
35000.0,0.0,-6655.935
35000.0,6000.0,-7174.728
35000.0,12000.0,-8008.753
35000.0,18000.0,-9012.419
35000.0,24000.0,-10016.086
35000.0,30000.0,-11019.753
